Election date,ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Party name,Party abbreviation,Electoral Commission party ID,MNIS party ID,Electoral Commission adjunct party ID,Candidate first name,Candidate surname,Candidate gender,Sitting MP,Former MP,Member MNIS ID,Votes,Share,Change,Democracy Club person ID
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,English Democrats,ED,PP17,90,,Catherine Anne,Blaiklock,Female,No,No,,95,0.002909,,30097
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Liberal,Lib,PP54,16,,Dan,Clarke,Male,No,No,,454,0.013903,0.002867,19433
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Green Party,Green,PP63,44,,Chris,Copeman,Male,No,No,,2314,0.070862,0.006678,6898
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Liberal Democrat,LD,PP90,17,,Paul Michael,Duffy,Male,No,No,,942,0.028847,-0.022228,53065
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Workers Party of Britain,WPB,PP11382,1042,,Peter,Ford,Male,No,No,,164,0.005022,,119082
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Official Monster Raving Loony Party,MRLP,PP66,119,,Howling Laud,Hope,Male,No,No,,128,0.00392,,422
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Conservative,Con,PP52,4,,Sean,Houlston,Male,No,No,,2341,0.071689,-0.088497,53169
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Volt United Kingdom,VUK,PP8009,1056,,Jason Philip,Hughes,Male,No,No,,54,0.001654,,117182
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Independent,Ind,,8,,Alan,McKie,Male,No,No,,269,0.008238,,119292
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,English Constitution Party,ECP,PP12881,1046,,Graham Harry,Moore,Male,No,No,,50,0.001531,,6504
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Social Democratic Party,SDP,PP243,32,,Paul Andrew,Murphy,Male,No,No,,68,0.002082,-0.000923,116177
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Reform UK,RUK,PP7931,1036,,Sarah Joanne,Pochin,Female,No,No,5403,12645,0.38723,0.205225,34543
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Labour,Lab,PP53,15,,Karen Louise,Shore,Female,No,No,,12639,0.387046,-0.142958,63960
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Rejoin EU,REU,PP11423,1040,,John,Stevens,Male,No,No,,129,0.00395,,3403
01/05/2025,E14001455,E12000002,Runcorn and Helsby,,North West,England,County,Independent,Ind,,8,,Michael,Williams,Male,No,No,,363,0.011116,,119083
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Official Monster Raving Loony Party,MRLP,PP66,119,,Sir Oink,A-Lot,Male,No,No,,159,0.004,,8194
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Advance UK,AUK,PP18211,1116,,Nick,Buckley,Male,No,No,,154,0.004,,35689
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Conservative,Con,PP52,4,,Charlotte Anne,Cadden,Female,No,No,,706,0.019,-0.06,123845
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Libertarian Party,LPUK,PP684,1003,,Dan,Clarke,Male,No,No,,47,0.001,,19433
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Reform UK,RUK,PP7931,1036,,Matt,Goodwin,Male,No,No,,10578,0.287,0.146,123811
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Social Democratic Party,SDP,PP243,32,,Sebastian,Moore,Male,No,No,,46,0.001,,114288
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Rejoin EU,REU,PP11423,1040,,Joseph,O'Meachair,Male,No,No,,98,0.003,,117227
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Liberal Democrat,LD,PP90,17,,Jackie,Pearcey,Female,No,No,,653,0.018,-0.02,5092
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Green Party,Green,PP63,44,,Hannah,Spencer,Female,No,No,5447,14980,0.406,0.274,100456
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Labour,Lab,PP53,15,,Angeliki,Stogia,Female,No,No,,9364,0.254,-0.254,14507
26/02/2026,E14001251,E12000002,Gorton and Denton,,North West,England,Borough,Communist League Election Campaign,Comm L,PP12791,77,,Hugo,Wils,Male,No,No,,29,0.001,,42445
18/06/2026,S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Borough,Labour,Lab,PP53,15,,Nurul Hoque,Ali,Male,No,No,,1550,0.054,-0.192,71838
18/06/2026,S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Borough,Alliance for Democracy and Freedom,ADF,PP10288,1075,,David,Ballantine,Male,No,No,,59,0.002,0.002,72565
18/06/2026,S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Borough,Reform UK,RUK,PP7931,1036,,Jo,Hart,Female,No,No,,2478,0.086,0.017,117298
18/06/2026,S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Borough,Conservative,Con,PP52,4,,Douglas,Lumsden,Male,No,No,5450,14308,0.494,0.252,19874
18/06/2026,S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Borough,Scottish Green Party,Green,PP130,1057,,Jorg,Shelton Eckstein,Male,No,No,,974,0.034,-0.001,139233
18/06/2026,S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Borough,Liberal Democrat,LD,PP90,17,,Mel,Sullivan,Female,No,No,,1270,0.044,-0.019,85520
18/06/2026,S14000061,S92000003,Aberdeen South,,Scotland,Scotland,Borough,Scottish National Party,SNP,PP102,29,,Richard Gordon,Thomson,Male,No,No,,8258,0.285,-0.041,3239
18/06/2026,S14000066,S92000003,Arbroath and Broughty Ferry,,Scotland,Scotland,County,Liberal Democrat,LD,PP90,17,,Tanvir,Ahmad,Male,No,No,,1452,0.061,0.01,123092
18/06/2026,S14000066,S92000003,Arbroath and Broughty Ferry,,Scotland,Scotland,County,Scottish National Party,SNP,PP102,29,,Lara,Bird,Female,No,No,5449,9802,0.412,0.059,139189
18/06/2026,S14000066,S92000003,Arbroath and Broughty Ferry,,Scotland,Scotland,County,Conservative,Con,PP51,4,,Jack,Cruickshanks,Male,No,No,,4524,0.19,0.035,109267
18/06/2026,S14000066,S92000003,Arbroath and Broughty Ferry,,Scotland,Scotland,County,Labour,Lab,PP53,15,,Heather,Doran,Female,No,No,,3651,0.154,-0.18,85221
18/06/2026,S14000066,S92000003,Arbroath and Broughty Ferry,,Scotland,Scotland,County,Reform UK,RUK,PP7931,1036,,Bill,Reid,Male,No,No,,4341,0.183,0.097,125014
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Liberal Democrat,LD,PP90,17,,Jake,Austin,Male,No,No,,163,0.004,-0.064,35462
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Count Binface Party,CBP,PP12685,1055,,Count,Binface,Male,No,No,,95,0.002,0.002,34750
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Labour,Lab,PP53,15,PP119,Andy,Burnham,Male,No,Yes,1427,24927,0.548,0.096,1290
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Libertarian Party,LPUK,PP684,1003,,Dan,Clarke,Male,No,No,,18,0,,19433
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Independent,Ind,,8,,John Alfred,Dyer,Male,No,No,,37,0.001,0.001,7254
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Climate Party,Cli,PP12958,1053,,Ed,Gemmell,Male,No,No,,18,0,,72424
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Independent,Ind,,8,,Paul Richard,Gould,Male,No,No,,8,0,,139237
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Official Monster Raving Loony Party,MRLP,PP65,119,,Howling Laud,Hope,Male,No,No,,45,0.001,0.001,422
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Reform UK,RUK,PP7931,1036,,Rob,Kenyon,Male,No,No,,15696,0.345,0.027,98226
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Independent,Ind,,8,,Robert Neil,Pownall,Male,No,No,,18,0,,125807
18/06/2026,E14001350,E12000002,Makerfield,,North West,England,Borough,Restore Britain,RB,PP18382,1117,,Rebecca Lee,Shepherd,Female,No,No,,3111,0.068,0.068,139187
